file,k,s_best
banknote_authentication.I,3,1.2418
broken-ring.i,3,0.8039
bupa.I,3,1.7615
Concrete_Data.i,3,2.4723
forestfires.I,3,1.8502
haberman.i,3,1.1274
ionosphere.I,3,4.2167
new-thyroid.I,3,1.2145
numbers2.i,3,0.7798
wdbc.I,3,3.9913
banknote_authentication.I,4,1.1118
broken-ring.i,4,0.6089
bupa.I,4,1.6599
Concrete_Data.i,4,2.2994
forestfires.I,4,1.7314
haberman.i,4,0.9849
ionosphere.I,4,3.9613
new-thyroid.I,4,1.0769
numbers2.i,4,0.6016
wdbc.I,4,3.8405
banknote_authentication.I,5,1.0103
broken-ring.i,5,0.5150
bupa.I,5,1.5718
Concrete_Data.i,5,2.1755
forestfires.I,5,1.6585
haberman.i,5,0.8093
ionosphere.I,5,3.8079
new-thyroid.I,5,0.9841
numbers2.i,5,0.6000
wdbc.I,5,3.7149
banknote_authentication.I,6,0.9388
broken-ring.i,6,0.4683
bupa.I,6,1.5149
Concrete_Data.i,6,2.1502
forestfires.I,6,1.5931
haberman.i,6,0.7531
ionosphere.I,6,3.6922
new-thyroid.I,6,0.9255
numbers2.i,6,0.5803
wdbc.I,6,3.6003
